id_ticket,secuencia_actividades
TCK-1072,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Cierre del Ticket → Resolución del Requerimiento → Validación QA → Fin de Fase
TCK-1073,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Resolución del Requerimiento → Cierre del Ticket → Validación QA → Fin de Fase
TCK-1074,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Cierre del Ticket → Resolución del Requerimiento → Inicio de Fase → Validación QA → Fin de Fase
TCK-1075,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Cierre del Ticket → Resolución del Requerimiento → Validación QA → Fin de Fase
TCK-1076,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Resolución del Requerimiento → Cierre del Ticket → Validación QA → Fin de Fase
TCK-1077,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Resolución del Requerimiento → Cierre del Ticket → Validación QA → Fin de Fase
TCK-1078,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Resolución del Requerimiento → Cierre del Ticket → Validación QA → Fin de Fase
TCK-1079,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Cierre del Ticket → Resolución del Requerimiento → Validación QA → Fin de Fase
TCK-1080,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Resolución del Requerimiento → Cierre del Ticket → Validación QA → Fin de Fase
TCK-1081,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Cierre del Ticket → Resolución del Requerimiento → Validación QA → Fin de Fase
TCK-1082,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Cierre del Ticket → Resolución del Requerimiento → Validación QA → Fin de Fase
TCK-1083,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Resolución del Requerimiento → Cierre del Ticket → Validación QA → Inicio de Fase → Fin de Fase
TCK-1084,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Resolución del Requerimiento → Cierre del Ticket → Inicio de Fase → Validación QA → Fin de Fase
TCK-1085,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Resolución del Requerimiento → Cierre del Ticket → Validación QA → Fin de Fase
TCK-1086,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Resolución del Requerimiento → Cierre del Ticket → Validación QA → Fin de Fase
TCK-1087,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Cierre del Ticket → Resolución del Requerimiento → Validación QA → Fin de Fase
TCK-1088,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Resolución del Requerimiento → Cierre del Ticket → Validación QA → Fin de Fase
TCK-1089,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Cierre del Ticket → Resolución del Requerimiento → Validación QA → Fin de Fase
TCK-1090,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Resolución del Requerimiento → Cierre del Ticket → Inicio de Fase → Validación QA → Fin de Fase
TCK-1091,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Resolución del Requerimiento → Cierre del Ticket → Validación QA → Fin de Fase
TCK-1092,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Resolución del Requerimiento → Cierre del Ticket → Validación QA → Fin de Fase
TCK-1093,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Resolución del Requerimiento → Cierre del Ticket → Validación QA → Fin de Fase
TCK-1094,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Cierre del Ticket → Resolución del Requerimiento → Validación QA → Fin de Fase
TCK-1095,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Resolución del Requerimiento → Cierre del Ticket → Validación QA → Fin de Fase
TCK-1096,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Cierre del Ticket → Resolución del Requerimiento → Inicio de Fase → Validación QA → Fin de Fase
TCK-1097,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Resolución del Requerimiento → Cierre del Ticket → Validación QA → Inicio de Fase → Fin de Fase
TCK-1098,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Cierre del Ticket → Resolución del Requerimiento → Inicio de Fase → Validación QA → Fin de Fase
TCK-1099,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Cierre del Ticket → Resolución del Requerimiento → Inicio de Fase → Validación QA → Fin de Fase
TCK-1100,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Cierre del Ticket → Resolución del Requerimiento → Validación QA → Fin de Fase
TCK-1101,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Cierre del Ticket → Resolución del Requerimiento → Validación QA → Fin de Fase
TCK-1102,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Resolución del Requerimiento → Cierre del Ticket → Validación QA → Fin de Fase
TCK-1103,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Cierre del Ticket → Resolución del Requerimiento → Inicio de Fase → Validación QA → Fin de Fase
TCK-1104,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Resolución del Requerimiento → Cierre del Ticket → Validación QA → Fin de Fase
TCK-1105,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Resolución del Requerimiento → Cierre del Ticket → Validación QA → Fin de Fase
TCK-1106,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Resolución del Requerimiento → Cierre del Ticket → Validación QA → Fin de Fase
TCK-1107,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Resolución del Requerimiento → Cierre del Ticket → Validación QA → Inicio de Fase → Fin de Fase
TCK-1108,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Resolución del Requerimiento → Cierre del Ticket → Validación QA → Fin de Fase
TCK-1109,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Cierre del Ticket → Resolución del Requerimiento → Validación QA → Fin de Fase
TCK-1110,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Cierre del Ticket → Resolución del Requerimiento → Inicio de Fase → Validación QA → Fin de Fase
TCK-1111,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Cierre del Ticket → Resolución del Requerimiento → Validación QA → Fin de Fase
TCK-1112,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Cierre del Ticket → Resolución del Requerimiento → Validación QA → Fin de Fase
TCK-1113,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Cierre del Ticket → Resolución del Requerimiento → Validación QA → Fin de Fase
TCK-1114,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Resolución del Requerimiento → Cierre del Ticket → Validación QA → Fin de Fase
TCK-1115,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Cierre del Ticket → Resolución del Requerimiento → Inicio de Fase → Validación QA → Fin de Fase
TCK-1116,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Cierre del Ticket → Resolución del Requerimiento → Validación QA → Fin de Fase
TCK-1117,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Resolución del Requerimiento → Cierre del Ticket → Inicio de Fase → Validación QA → Fin de Fase
TCK-1118,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Cierre del Ticket → Resolución del Requerimiento → Validación QA → Fin de Fase
TCK-1119,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Cierre del Ticket → Resolución del Requerimiento → Validación QA → Fin de Fase
TCK-1120,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Resolución del Requerimiento → Cierre del Ticket → Validación QA → Fin de Fase
TCK-1121,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Cierre del Ticket → Resolución del Requerimiento → Inicio de Fase → Validación QA → Fin de Fase
TCK-1122,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Resolución del Requerimiento → Cierre del Ticket → Inicio de Fase → Validación QA → Fin de Fase
TCK-1123,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Cierre del Ticket → Resolución del Requerimiento → Validación QA → Fin de Fase
TCK-1124,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Cierre del Ticket → Resolución del Requerimiento → Validación QA → Fin de Fase
TCK-1125,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Resolución del Requerimiento → Cierre del Ticket → Inicio de Fase → Validación QA → Fin de Fase
TCK-1126,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Resolución del Requerimiento → Cierre del Ticket → Validación QA → Inicio de Fase → Fin de Fase
TCK-1127,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Resolución del Requerimiento → Cierre del Ticket → Inicio de Fase → Validación QA → Fin de Fase
TCK-1128,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Resolución del Requerimiento → Cierre del Ticket → Validación QA → Fin de Fase
TCK-1129,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Resolución del Requerimiento → Cierre del Ticket → Validación QA → Fin de Fase
TCK-1130,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Cierre del Ticket → Resolución del Requerimiento → Validación QA → Fin de Fase
TCK-1131,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Cierre del Ticket → Resolución del Requerimiento → Validación QA → Fin de Fase
TCK-1132,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Cierre del Ticket → Resolución del Requerimiento → Inicio de Fase → Validación QA → Fin de Fase
TCK-1133,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Resolución del Requerimiento → Cierre del Ticket → Validación QA → Fin de Fase
TCK-1134,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Cierre del Ticket → Resolución del Requerimiento → Validación QA → Fin de Fase
TCK-1135,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Resolución del Requerimiento → Cierre del Ticket → Validación QA → Fin de Fase
TCK-1136,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Resolución del Requerimiento → Cierre del Ticket → Validación QA → Fin de Fase
TCK-1137,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Resolución del Requerimiento → Cierre del Ticket → Validación QA → Fin de Fase
TCK-1138,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Cierre del Ticket → Resolución del Requerimiento → Validación QA → Fin de Fase
TCK-1139,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Cierre del Ticket → Resolución del Requerimiento → Validación QA → Fin de Fase
TCK-1140,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Cierre del Ticket → Resolución del Requerimiento → Validación QA → Fin de Fase
TCK-1141,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Cierre del Ticket → Resolución del Requerimiento → Validación QA → Fin de Fase
TCK-1142,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Cierre del Ticket → Resolución del Requerimiento → Validación QA → Fin de Fase
TCK-1143,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Resolución del Requerimiento → Cierre del Ticket → Validación QA → Fin de Fase
TCK-1144,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Cierre del Ticket → Resolución del Requerimiento → Validación QA → Fin de Fase
TCK-1145,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Cierre del Ticket → Resolución del Requerimiento → Validación QA → Fin de Fase
TCK-1146,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Inicio de Fase → Resolución del Requerimiento → Cierre del Ticket → Validación QA → Fin de Fase
TCK-1147,Creación de Ticket → Evaluación de Requerimiento → Ingreso a Backlog → Aprobación por Comité → Resolución del Requerimiento → Cierre del Ticket → Inicio de Fase → Validación QA → Fin de Fase
