id_ticket,duracion_proceso_horas,duracion_fase_horas,duracion_qa_horas,duracion_post_resolucion_horas
TCK-1097,2232.0,288.0,1944.0,1944.0
TCK-1122,4080.0,312.0,3768.0,3768.0
TCK-1134,4704.0,648.0,4056.0,4056.0
TCK-1196,792.0,288.0,504.0,504.0
TCK-1146,2160.0,360.0,1800.0,1800.0
TCK-1208,3696.0,600.0,3096.0,3096.0
TCK-1199,3168.0,264.0,2904.0,2904.0
TCK-1200,3048.0,240.0,2808.0,2808.0
TCK-1212,2328.0,576.0,1752.0,1752.0
TCK-1106,3312.0,648.0,2664.0,2664.0
TCK-1107,3696.0,336.0,3360.0,3360.0
TCK-1211,2520.0,384.0,2136.0,2136.0
TCK-1109,4272.0,648.0,3624.0,3624.0
TCK-1158,2640.0,264.0,2376.0,2376.0
TCK-1170,4296.0,600.0,3696.0,3696.0
TCK-1220,3960.0,360.0,3600.0,3600.0
TCK-1182,3840.0,288.0,3552.0,3552.0
TCK-1232,1848.0,288.0,1560.0,1560.0
TCK-1223,1128.0,408.0,720.0,720.0
TCK-1224,1440.0,672.0,768.0,768.0
TCK-1236,4272.0,696.0,3576.0,3576.0
TCK-1118,4512.0,288.0,4224.0,4224.0
TCK-1119,4752.0,672.0,4080.0,4080.0
TCK-1235,3912.0,480.0,3432.0,3432.0
TCK-1121,2304.0,384.0,1920.0,1920.0
TCK-1194,2640.0,408.0,2232.0,2232.0
TCK-1206,3144.0,336.0,2808.0,2808.0
TCK-1244,4680.0,456.0,4224.0,4224.0
TCK-1218,2640.0,288.0,2352.0,2352.0
TCK-1256,3528.0,696.0,2832.0,2832.0
TCK-1247,1320.0,288.0,1032.0,1032.0
TCK-1248,2016.0,624.0,1392.0,1392.0
TCK-1260,1512.0,504.0,1008.0,1008.0
TCK-1130,1128.0,408.0,720.0,720.0
TCK-1131,2448.0,360.0,2088.0,2088.0
TCK-1259,4056.0,456.0,3600.0,3600.0
TCK-1133,4728.0,624.0,4104.0,4104.0
TCK-1230,4800.0,648.0,4152.0,4152.0
TCK-1242,4776.0,312.0,4464.0,4464.0
TCK-1268,1536.0,432.0,1104.0,1104.0
TCK-1254,1368.0,648.0,720.0,720.0
TCK-1280,2376.0,456.0,1920.0,1920.0
TCK-1271,1992.0,480.0,1512.0,1512.0
TCK-1272,4608.0,432.0,4176.0,4176.0
TCK-1284,3720.0,432.0,3288.0,3288.0
TCK-1142,1032.0,288.0,744.0,744.0
TCK-1143,3312.0,432.0,2880.0,2880.0
TCK-1283,720.0,480.0,240.0,240.0
TCK-1145,1512.0,720.0,792.0,792.0
TCK-1266,1704.0,576.0,1128.0,1128.0
TCK-1278,3336.0,648.0,2688.0,2688.0
TCK-1292,1392.0,288.0,1104.0,1104.0
TCK-1290,1632.0,648.0,984.0,984.0
TCK-1006,2976.0,672.0,2304.0,2304.0
TCK-1295,1608.0,552.0,1056.0,1056.0
TCK-1296,960.0,456.0,504.0,504.0
TCK-1009,960.0,504.0,456.0,456.0
TCK-1154,2232.0,312.0,1920.0,1920.0
TCK-1155,4152.0,552.0,3600.0,3600.0
TCK-1012,1656.0,408.0,1248.0,1248.0
TCK-1157,1704.0,360.0,1344.0,1344.0
TCK-1005,3240.0,240.0,3000.0,3000.0
TCK-1017,2760.0,552.0,2208.0,2208.0
TCK-1018,2232.0,432.0,1800.0,1800.0
TCK-1029,1368.0,528.0,840.0,840.0
TCK-1030,936.0,600.0,336.0,336.0
TCK-1024,1944.0,576.0,1368.0,1368.0
TCK-1021,2592.0,408.0,2184.0,2184.0
TCK-1033,864.0,384.0,480.0,480.0
TCK-1166,2736.0,432.0,2304.0,2304.0
TCK-1167,1128.0,432.0,696.0,696.0
TCK-1036,4656.0,624.0,4032.0,4032.0
TCK-1169,4008.0,480.0,3528.0,3528.0
TCK-1041,888.0,312.0,576.0,576.0
TCK-1171,2304.0,360.0,1944.0,1944.0
TCK-1042,2328.0,264.0,2064.0,2064.0
TCK-1053,4368.0,552.0,3816.0,3816.0
TCK-1054,2640.0,552.0,2088.0,2088.0
TCK-1048,3840.0,312.0,3528.0,3528.0
TCK-1045,4248.0,384.0,3864.0,3864.0
TCK-1057,984.0,552.0,432.0,432.0
TCK-1178,3912.0,648.0,3264.0,3264.0
TCK-1179,1920.0,504.0,1416.0,1416.0
TCK-1060,1128.0,480.0,648.0,648.0
TCK-1181,2640.0,312.0,2328.0,2328.0
TCK-1065,2544.0,624.0,1920.0,1920.0
TCK-1183,4800.0,552.0,4248.0,4248.0
TCK-1066,3192.0,456.0,2736.0,2736.0
TCK-1077,1488.0,384.0,1104.0,1104.0
TCK-1078,4800.0,528.0,4272.0,4272.0
TCK-1072,1776.0,696.0,1080.0,1080.0
TCK-1069,2568.0,528.0,2040.0,2040.0
TCK-1081,720.0,456.0,264.0,264.0
TCK-1190,1992.0,552.0,1440.0,1440.0
TCK-1191,4272.0,696.0,3576.0,3576.0
TCK-1084,2688.0,576.0,2112.0,2112.0
TCK-1193,3432.0,384.0,3048.0,3048.0
TCK-1089,3624.0,360.0,3264.0,3264.0
TCK-1195,1224.0,456.0,768.0,768.0
TCK-1090,4776.0,720.0,4056.0,4056.0
TCK-1101,2760.0,288.0,2472.0,2472.0
TCK-1102,2160.0,456.0,1704.0,1704.0
TCK-1096,1920.0,336.0,1584.0,1584.0
TCK-1093,984.0,408.0,576.0,576.0
TCK-1105,4464.0,288.0,4176.0,4176.0
TCK-1202,3264.0,720.0,2544.0,2544.0
TCK-1203,1896.0,528.0,1368.0,1368.0
TCK-1108,3168.0,408.0,2760.0,2760.0
TCK-1205,4728.0,240.0,4488.0,4488.0
TCK-1113,1368.0,552.0,816.0,816.0
TCK-1207,1800.0,624.0,1176.0,1176.0
TCK-1114,1008.0,648.0,360.0,360.0
TCK-1125,1464.0,576.0,888.0,888.0
TCK-1126,3552.0,624.0,2928.0,2928.0
TCK-1120,4368.0,480.0,3888.0,3888.0
TCK-1117,3432.0,696.0,2736.0,2736.0
TCK-1129,3816.0,552.0,3264.0,3264.0
TCK-1214,4080.0,576.0,3504.0,3504.0
TCK-1215,1680.0,600.0,1080.0,1080.0
TCK-1132,2304.0,408.0,1896.0,1896.0
TCK-1217,4632.0,432.0,4200.0,4200.0
TCK-1137,3912.0,600.0,3312.0,3312.0
TCK-1219,2184.0,432.0,1752.0,1752.0
TCK-1138,1176.0,456.0,720.0,720.0
TCK-1149,2376.0,480.0,1896.0,1896.0
TCK-1150,4032.0,288.0,3744.0,3744.0
TCK-1144,1632.0,408.0,1224.0,1224.0
TCK-1141,1656.0,384.0,1272.0,1272.0
TCK-1153,3264.0,552.0,2712.0,2712.0
TCK-1226,4032.0,576.0,3456.0,3456.0
TCK-1227,1080.0,384.0,696.0,696.0
TCK-1156,3288.0,528.0,2760.0,2760.0
TCK-1229,4296.0,240.0,4056.0,4056.0
TCK-1161,4248.0,528.0,3720.0,3720.0
TCK-1231,744.0,504.0,240.0,240.0
TCK-1162,3096.0,552.0,2544.0,2544.0
TCK-1173,4056.0,696.0,3360.0,3360.0
TCK-1174,2064.0,600.0,1464.0,1464.0
TCK-1168,2376.0,552.0,1824.0,1824.0
TCK-1165,888.0,528.0,360.0,360.0
TCK-1177,3192.0,360.0,2832.0,2832.0
TCK-1238,3576.0,336.0,3240.0,3240.0
TCK-1239,3984.0,240.0,3744.0,3744.0
TCK-1180,3120.0,672.0,2448.0,2448.0
TCK-1241,4776.0,240.0,4536.0,4536.0
TCK-1185,4656.0,552.0,4104.0,4104.0
TCK-1243,3552.0,360.0,3192.0,3192.0
TCK-1186,2304.0,528.0,1776.0,1776.0
TCK-1197,2016.0,576.0,1440.0,1440.0
TCK-1198,2784.0,528.0,2256.0,2256.0
TCK-1192,3288.0,432.0,2856.0,2856.0
TCK-1189,1200.0,600.0,600.0,600.0
TCK-1201,4032.0,264.0,3768.0,3768.0
TCK-1250,2856.0,408.0,2448.0,2448.0
TCK-1251,1128.0,720.0,408.0,408.0
TCK-1204,888.0,408.0,480.0,480.0
TCK-1253,840.0,696.0,144.0,144.0
TCK-1209,2184.0,336.0,1848.0,1848.0
TCK-1255,1416.0,672.0,744.0,744.0
TCK-1210,2040.0,576.0,1464.0,1464.0
TCK-1221,2280.0,504.0,1776.0,1776.0
TCK-1222,4440.0,696.0,3744.0,3744.0
TCK-1216,1416.0,360.0,1056.0,1056.0
TCK-1213,1368.0,672.0,696.0,696.0
TCK-1225,2616.0,672.0,1944.0,1944.0
TCK-1262,3024.0,528.0,2496.0,2496.0
TCK-1263,1920.0,288.0,1632.0,1632.0
TCK-1228,4560.0,408.0,4152.0,4152.0
TCK-1265,2568.0,696.0,1872.0,1872.0
TCK-1233,1440.0,672.0,768.0,768.0
TCK-1267,960.0,504.0,456.0,456.0
TCK-1234,3336.0,504.0,2832.0,2832.0
TCK-1245,3816.0,720.0,3096.0,3096.0
TCK-1246,792.0,552.0,240.0,240.0
TCK-1240,3720.0,312.0,3408.0,3408.0
TCK-1237,2928.0,720.0,2208.0,2208.0
TCK-1249,3528.0,336.0,3192.0,3192.0
TCK-1274,1800.0,624.0,1176.0,1176.0
TCK-1275,2376.0,696.0,1680.0,1680.0
TCK-1252,4008.0,600.0,3408.0,3408.0
TCK-1277,3384.0,672.0,2712.0,2712.0
TCK-1257,2688.0,408.0,2280.0,2280.0
TCK-1279,1248.0,432.0,816.0,816.0
TCK-1258,3480.0,408.0,3072.0,3072.0
TCK-1269,3552.0,672.0,2880.0,2880.0
TCK-1270,3048.0,480.0,2568.0,2568.0
TCK-1264,3744.0,480.0,3264.0,3264.0
TCK-1261,3696.0,384.0,3312.0,3312.0
TCK-1273,2304.0,480.0,1824.0,1824.0
TCK-1286,4368.0,432.0,3936.0,3936.0
TCK-1287,768.0,624.0,144.0,144.0
TCK-1276,1872.0,288.0,1584.0,1584.0
TCK-1289,3216.0,600.0,2616.0,2616.0
TCK-1281,2184.0,600.0,1584.0,1584.0
TCK-1291,3720.0,576.0,3144.0,3144.0
TCK-1282,816.0,288.0,528.0,528.0
TCK-1293,2064.0,528.0,1536.0,1536.0
TCK-1294,2208.0,456.0,1752.0,1752.0
TCK-1288,4272.0,504.0,3768.0,3768.0
TCK-1285,4104.0,624.0,3480.0,3480.0
TCK-1297,3312.0,648.0,2664.0,2664.0
TCK-1298,2880.0,576.0,2304.0,2304.0
TCK-1299,2592.0,432.0,2160.0,2160.0
TCK-1300,1440.0,384.0,1056.0,1056.0
